Transaction ID,Customer ID,Transaction Date,Prod Subcat Code,Prod Cat Code,Qty,Rate,Net_Sales
29258453508,270384,20/2/14,5,3,5,1497,7485
25455265351,267750,20/2/14,12,6,3,1360,4080
1571002198,275023,20/2/14,6,5,4,587,2348
36554696014,269345,20/2/14,3,5,3,1253,3759
56814940239,268799,20/2/14,7,5,5,368,1840
54295803788,270787,20/2/14,12,5,5,584,2920
25963520987,274829,20/2/14,4,4,3,502,1506
17183929085,266863,20/2/14,1,2,1,1359,1359
44783317894,269452,20/2/14,3,1,3,825,2475
58957828601,269009,20/2/14,11,5,4,846,3384
9647515879,268934,20/2/14,7,5,3,1384,4152
20781077773,269223,20/2/14,5,3,3,1203,3609
91116291703,268509,20/2/14,1,2,4,1243,4972
68325723297,268516,20/2/14,9,3,1,877,877
73235813024,268774,20/2/14,3,5,1,76,76
80712190438,270351,20/2/14,1,1,5,772,3860
66989395597,272785,20/2/14,10,3,2,474,948
99581788104,267466,20/2/14,3,2,1,96,96
28396777609,269101,19/2/14,4,1,4,1386,5544
22391667321,270842,19/2/14,1,2,5,723,3615
51075317246,274987,19/2/14,10,6,5,374,1870
16199275450,275139,19/2/14,4,2,1,173,173
